dataset,Landmarker_1NN,Landmarker_dt,Landmarker_gnb,Landmarker_lda,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,multiply,add,subtract,abs,square
hearth-h.csv,0.479591837,0.602040816,0.204081633,0.663265306,0.636206897,0.037203243,0.6465517239999999,0.040046105,0.667011494,0.054179144000000005,0.514137931,0.10824694,0.523908046,0.079120026,0.63954023,0.014307152,0.636206897,0.019020586000000003,0.19858156,0.368794326,0.20567375899999998,0.056737589000000005,0.17021276600000002
hiva_agnostic.csv,0.957674155,0.944194951,0.6987300479999999,0.9340266140000001,0.965003417,0.00330738,0.964531164,0.001563115,0.949396659,0.009982251999999999,0.8406277659999999,0.017560141,0.957438405,0.006950151999999999,0.964767571,0.0007227819999999999,0.964767571,0.0007227819999999999,0.065072141,0.333446306,0.326958458,0.134259708,0.140263387
irish.csv,0.719409283,0.970464135,0.9873417720000001,0.9873417720000001,0.872,0.068117545,1.0,0.0,0.722,0.11525816400000001,0.846,0.110373105,0.89,0.050990195,0.6920000000000001,0.09150592,0.47600000000000003,0.171994832,0.125,0.325,0.05,0.2,0.3
JapaneseVowels.csv,0.48438919799999997,0.865274377,0.8562402579999999,0.927417287,0.259712874,0.011982963999999999,0.2287922,0.011806108000000001,0.909256484,0.038430661,0.822115745,0.045399515999999994,0.8934905120000001,0.026885287,0.216243107,0.021175262,0.170262293,0.016899792,0.17391304300000002,0.253623188,0.19565217399999998,0.231884058,0.144927536
jm1.csv,0.6949441209999999,0.750367322,0.8038602990000001,0.811948476,0.8065228659999999,0.000401667,0.19779226100000002,0.014191509,0.808733643,0.024651343,0.781910178,0.040807613,0.673684708,0.029386647000000002,0.8065228659999999,0.000401667,0.8065228659999999,0.000401667,0.09375,0.328125,0.322916667,0.09375,0.161458333
jungle_chess_2pcs_endgame_panther_lion.csv,0.981079932,0.99957483,0.50297619,0.955144558,0.895686407,0.071314854,0.523400641,0.040677293999999996,0.884230022,0.158880556,0.37788769899999997,0.168323058,0.838661969,0.094054998,0.763549261,0.18232931,0.751490717,0.191443639,0.18465909100000003,0.289772727,0.284090909,0.110795455,0.130681818
jungle_chess_2pcs_raw_endgame_complete.csv,0.725562925,0.797496711,0.6935451420000001,0.675940992,0.6159445889999999,0.044472645,0.523751944,0.099830727,0.66255348,0.07231201799999999,0.6760965059999999,0.072802335,0.710412684,0.071971872,0.534327346,0.011975218999999999,0.509382298,0.11900211699999999,0.17391304300000002,0.086956522,0.260869565,0.17391304300000002,0.304347826
dataset_1067.csv,0.7140825040000001,0.815552394,0.823138928,0.8539592220000001,0.845425412,0.002363362,0.50539833,0.164276686,0.846881065,0.031659837999999996,0.803748589,0.067179694,0.749221395,0.052213435,0.828837734,0.05314427099999999,0.845425412,0.002363362,0.256578947,0.256578947,0.256578947,0.131578947,0.098684211
kc2.csv,0.787356322,0.793103448,0.833333333,0.82183908,0.8329825829999999,0.10044443900000001,0.7197750359999999,0.171080929,0.82329463,0.09133409699999999,0.81777939,0.108374585,0.7526850509999999,0.10273343300000001,0.823403483,0.107108665,0.819702467,0.094576485,0.226027397,0.356164384,0.075342466,0.11643835599999999,0.226027397
kin8nm.csv,0.800415167,0.749023758,0.736329593,0.732301138,0.694579797,0.01860106,0.594847673,0.020497058000000002,0.73339483,0.018271179,0.73754549,0.017621075,0.808471962,0.013074724,0.518188749,0.015571278999999999,0.544674499,0.026993822,0.217821782,0.267326733,0.168316832,0.178217822,0.168316832
leukemia.csv,0.916666667,0.916666667,0.9861111109999999,0.875,0.8482142859999999,0.075878267,0.8625,0.08989869,0.957142857,0.069006556,0.875,0.141861611,0.8857142859999999,0.112687234,0.596428571,0.125762978,0.582142857,0.16649651199999999,0.199090867,0.198356215,0.20081270899999998,0.197116488,0.20462372
lymphoma_2classes.csv,0.666666667,0.7222222220000001,0.444444444,0.444444444,0.74,0.268535121,0.72,0.254077853,0.95,0.105409255,0.935,0.105540935,0.645,0.265047166,0.555,0.13426756,0.495,0.17392527100000002,0.19966104399999998,0.199620692,0.205673473,0.203413768,0.191631023
MagicTelescope.csv,0.778023134,0.817350158,0.7266561509999999,0.7835436379999999,0.9500525759999999,0.110945962,0.9500525759999999,0.110945962,0.955993691,0.080618056,0.968454259,0.044986745999999994,0.960252366,0.044642835,0.678601472,0.0029643340000000003,0.718822292,0.007031164,0.289473684,0.31578947399999996,0.131578947,0.15789473699999998,0.10526315800000001
mfeat-fourier.csv,0.99950025,0.981503242,0.9940014979999999,0.998001,0.9785,0.012483322,0.9655,0.013006408999999998,0.9995,0.0015811389999999999,0.9940000000000001,0.006146363,0.997,0.007888106,0.9,0.0,0.9035,0.025825268,0.183168317,0.215346535,0.17574257399999998,0.23019802,0.19554455399999998
mfeat-morphological.csv,0.963504734,0.995001748,0.9984999990000001,0.9980002490000001,0.9535,0.080417314,0.9359999999999999,0.098002268,0.9640000000000001,0.08559595,0.9985,0.002415229,0.9325,0.109246154,0.858,0.132815662,0.9,0.0,0.225806452,0.494623656,0.064516129,0.139784946,0.075268817
mfeat-pixel.csv,0.9770002390000001,0.875006941,0.915994705,0.9514912209999999,0.1975,0.0026352309999999996,0.1095,0.007245688,0.9565,0.014151953,0.9265,0.018112304,0.977,0.007527727,0.19,0.00942809,0.1655,0.007975656999999999,0.125517241,0.25103448300000003,0.30482758600000004,0.140689655,0.177931034
mozilla4.csv,0.9207466009999999,0.9219043309999999,0.678353385,0.806240431,0.934449176,0.02384526,0.918883495,0.024246322,0.87282594,0.02882684,0.806052093,0.052075533,0.842851846,0.047970634000000005,0.702279979,0.035663078,0.671405604,0.00023621700000000002,0.05,0.375,0.3,0.05,0.225
openml_phpJNxH0q.csv,0.957557256,0.939955432,0.961943221,0.9604747920000001,0.909937888,0.045128877000000005,0.83699793,0.074917416,0.95,0.037038927,0.955672878,0.031166653,0.9385093170000001,0.049484567,0.89563147,0.049879768,0.8442857140000001,0.088946976,0.242038217,0.47133758,0.050955414000000004,0.10191082800000001,0.13375796199999998
openml_phpZNNasq.csv,0.980392157,0.93107546,0.9702911470000001,0.8621509209999999,0.603636364,0.011499191,0.594545455,0.017248786999999998,0.92,0.091893658,0.96,0.051639778,0.494545455,0.19770027699999998,0.45363636399999996,0.114065855,0.503636364,0.109778975,0.20574162699999998,0.373205742,0.119617225,0.167464115,0.133971292
pbc.csv,0.594202899,0.630434783,0.666666667,0.702898551,0.66213705,0.10933513,0.6477351920000001,0.101265404,0.669570267,0.12162755300000001,0.669337979,0.13637960000000002,0.579036005,0.039770212,0.5264808360000001,0.06386172799999999,0.56445993,0.086038951,0.190839695,0.43511450399999996,0.16030534400000002,0.122137405,0.091603053
